,Call Failure,Complaints,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value
756,2,0,33,0,2360,33,277,17,3,1,1,30,1203.72
1236,0,0,37,0,1440,40,41,22,3,1,2,30,223.2
2905,18,0,45,3,4080,94,47,31,3,1,1,30,354.96
1802,3,0,30,0,2148,48,344,21,2,1,1,25,1646.82
1273,15,0,30,6,10050,85,0,36,4,1,1,45,253.375
304,0,0,32,0,2133,48,0,27,1,1,1,15,119.955
1117,0,0,38,0,465,11,11,8,2,1,1,25,70.92
1264,3,0,31,0,15100,174,133,24,2,1,1,25,1285.83
1882,0,0,39,1,33,4,5,1,5,1,1,55,8.055
2373,31,0,44,10,11000,109,23,50,5,1,1,55,201.135
2093,0,0,23,0,2920,55,1,21,3,1,1,30,123.0
2649,5,1,11,1,1193,15,7,2,3,1,1,30,76.32
2938,11,0,34,3,1620,48,208,14,3,2,1,30,898.72
367,4,0,41,0,890,22,24,13,3,1,2,30,132.48
3041,0,0,27,0,420,5,3,5,4,1,2,45,18.125
2105,16,0,40,2,4080,88,39,30,3,1,1,30,322.72
2844,5,0,20,1,1810,31,26,13,3,1,1,30,177.64
218,0,0,33,0,0,0,0,0,2,1,2,25,0.0
187,7,0,40,1,2860,55,185,27,2,1,1,25,963.675
1783,18,0,29,2,15580,231,0,75,2,1,1,25,711.495
346,7,0,9,0,8673,161,58,34,4,1,1,45,365.85
3000,7,0,39,0,3965,66,0,19,3,1,1,30,161.24
2685,7,0,39,2,4138,94,41,34,3,1,1,30,333.28
2773,28,0,38,9,10930,100,17,47,5,1,1,55,190.95
438,2,0,24,1,1135,28,182,6,2,2,1,25,871.335
2285,8,0,42,2,4103,90,19,34,3,1,1,30,243.72
2448,5,0,5,1,4435,36,207,6,3,1,1,30,1006.84
2362,35,0,46,5,15705,241,76,40,3,1,1,30,941.84
2027,4,1,34,0,1963,38,27,29,3,1,2,30,188.04
1421,5,0,38,0,6593,77,112,40,2,1,1,25,804.15
2892,13,0,22,0,1530,32,18,14,2,1,1,25,151.29
445,14,0,14,1,6213,133,74,37,2,2,1,25,618.57
1636,0,0,34,0,1475,44,63,22,3,1,2,30,312.76
2512,28,0,37,4,15265,223,50,29,3,2,1,30,819.52
906,0,0,37,0,1650,28,260,18,3,1,1,30,1107.12
1041,0,0,26,0,825,10,21,3,4,1,2,45,73.375
1488,0,0,22,0,830,22,175,4,2,2,1,25,825.84
958,7,0,38,0,13773,169,0,44,3,1,1,30,557.68
2572,32,1,35,0,1860,63,44,34,3,1,2,30,252.92
3067,7,0,40,0,1015,20,20,10,3,1,2,30,121.4
2472,30,0,38,0,1440,61,34,24,3,1,2,30,196.04
1964,0,0,34,0,14470,165,118,28,2,1,1,25,1189.575
933,19,0,30,2,15365,227,0,80,2,1,1,25,701.64
2994,13,0,21,2,2710,43,43,16,3,1,1,30,282.12
256,9,0,44,1,2620,49,300,24,3,1,1,30,1306.76
303,5,0,32,0,3938,56,0,29,1,1,1,15,219.67
909,1,0,37,0,3805,72,0,25,3,1,1,30,155.08
2228,5,0,36,0,305,6,7,2,3,1,2,30,40.44
1832,0,0,29,0,0,0,0,0,4,1,1,45,0.0
3021,7,0,38,1,6313,70,90,39,2,1,1,25,692.235
1854,0,0,41,0,2088,58,3,32,2,1,1,25,110.07
260,11,0,44,1,6178,105,22,18,3,1,1,30,339.32
2907,20,0,44,4,9420,133,159,46,3,1,1,30,1018.12
945,10,0,16,0,5682,130,60,42,1,2,1,15,649.66
589,4,0,27,1,1683,45,62,72,5,1,1,55,118.92
790,9,0,22,0,700,19,2,6,2,1,2,25,41.355
2343,6,0,23,1,3450,65,7,21,3,1,1,30,168.6
2620,8,0,39,0,11170,150,7,34,4,1,1,45,300.5
1681,0,0,33,0,0,0,0,0,3,1,2,30,0.0
816,2,0,42,0,875,20,8,12,2,1,2,25,76.275
560,6,0,39,1,6033,101,39,16,3,1,1,30,401.36
2361,19,0,46,0,2803,70,30,25,4,1,2,45,146.825
1210,2,0,40,0,5693,91,10,14,2,1,1,25,305.28
1164,1,0,33,0,15120,173,138,26,2,1,1,25,1309.185
2998,13,0,12,3,5405,57,230,12,3,1,1,30,1138.48
3044,1,0,19,0,1290,21,10,16,2,1,1,25,103.995
2300,12,0,36,1,4595,75,7,15,3,1,1,30,214.8
1754,0,0,36,0,1898,51,0,28,1,1,1,15,107.195
1758,0,0,36,0,13278,162,0,39,3,1,1,30,537.6
783,23,0,26,2,16075,232,0,79,2,1,1,25,733.815
610,6,0,37,0,5803,89,0,8,2,1,1,25,265.14
2067,0,0,36,0,405,8,6,6,2,1,2,25,45.585
3111,14,0,40,0,2543,60,15,19,3,1,2,30,164.12
1831,0,0,29,0,0,0,0,0,3,1,2,30,0.0
797,6,0,11,2,2852,39,23,18,3,1,1,30,207.64
3031,0,0,37,0,223,2,0,6,4,1,2,45,5.625
2204,5,0,38,1,2638,61,7,33,2,1,1,25,152.955
165,4,0,41,2,6580,88,196,30,3,1,1,30,1050.72
2873,24,0,33,8,10740,93,0,43,4,1,1,45,270.825
1475,0,0,29,0,2355,8,0,7,3,1,1,30,94.52
2607,14,0,39,1,8820,117,130,30,3,1,1,30,877.48
2515,6,0,36,2,6625,84,182,23,3,1,1,30,996.36
1589,0,0,24,0,663,23,2,51,4,1,1,45,22.15
2457,20,0,42,3,9600,135,162,50,3,1,1,30,1037.4
961,9,1,38,0,2238,54,8,17,3,1,2,30,123.68
1140,9,0,27,0,455,22,8,7,2,1,1,25,57.465
796,10,0,10,0,8932,165,65,39,4,1,1,45,389.925
724,11,0,36,1,5628,97,17,21,2,1,1,25,334.125
990,11,0,27,0,700,25,10,7,2,1,2,25,77.625
1246,8,0,17,0,8708,167,76,42,4,1,1,45,411.875
81,3,0,38,1,688,10,14,6,4,1,1,45,52.45
151,1,1,43,0,398,7,17,8,3,1,2,30,84.2
681,2,0,36,0,818,8,18,7,4,1,2,45,65.65
54,6,0,40,1,2453,61,7,35,2,1,1,25,144.63
772,21,1,28,0,955,41,8,16,2,1,2,25,80.82
2018,0,1,35,0,0,0,0,0,2,1,2,25,0.0
2984,17,0,37,5,7980,133,286,35,3,2,1,30,1468.52
1919,4,0,36,0,7913,132,385,41,2,1,1,25,2094.525
1736,0,0,33,0,1550,39,40,21,3,1,2,30,223.56
1561,0,0,36,0,1333,38,0,4,3,1,2,30,54.84
577,9,0,37,0,2383,50,66,35,4,1,2,45,225.825
2156,12,0,42,2,2725,48,297,22,4,1,1,45,811.825
2168,8,0,41,2,365,9,12,4,3,1,1,30,62.96
3149,8,1,11,2,1792,25,7,9,3,1,1,30,100.68
2924,20,0,43,3,6123,110,41,27,3,1,1,30,413.32
1248,0,0,11,1,4165,36,218,12,3,1,1,30,1040.04
471,12,0,37,3,7318,85,129,52,2,1,1,25,913.635
2568,9,1,39,0,905,16,28,17,2,1,2,25,167.445
1670,2,0,34,0,11045,142,0,41,3,1,1,30,447.48
829,3,0,41,1,1668,31,8,7,4,1,1,45,62.475
2015,0,0,35,0,6195,80,179,24,3,1,1,30,967.0
1169,0,0,33,0,7143,118,372,39,2,1,1,25,2000.745
1260,0,0,32,0,5533,87,0,6,2,1,1,25,252.9
1646,7,0,14,0,8743,171,98,42,5,1,1,55,280.71
2720,12,0,38,1,11655,154,7,45,3,1,1,30,500.36
1087,1,0,34,0,2475,47,168,21,2,1,1,25,869.49
1660,1,0,35,0,5498,83,0,6,2,1,1,25,251.145
1177,1,0,32,0,1903,35,22,27,3,1,2,30,165.52
2215,5,0,37,1,6745,89,188,26,3,1,1,30,1025.36
1237,2,0,38,0,2555,49,178,25,2,1,1,25,918.18
1873,18,0,39,8,10130,93,2,41,5,1,1,55,156.345
1128,0,0,36,0,0,0,0,0,3,1,1,30,0.0
3110,11,0,40,1,6223,101,14,14,3,1,1,30,308.96
2791,7,0,28,0,1320,17,37,8,4,1,2,45,125.925
1794,0,0,16,0,1200,19,12,9,2,1,1,25,108.855
1171,0,0,33,0,6353,66,96,33,2,1,1,25,720.855
1068,0,0,35,0,0,0,0,0,2,1,2,25,0.0
525,0,0,34,0,2240,12,0,4,3,1,1,30,90.08
2348,6,0,7,1,4615,44,212,8,3,1,1,30,1034.36
1584,0,0,32,0,6060,100,243,16,2,2,1,25,1370.7
1009,7,0,38,1,4515,83,2,25,3,1,1,30,191.92
808,9,0,43,1,13773,175,8,45,3,1,1,30,589.92
613,4,0,37,0,2980,21,451,4,3,1,1,30,1924.04
169,4,0,41,1,7588,129,394,47,3,1,1,30,1884.68
359,9,0,41,1,4695,91,13,30,3,1,1,30,243.44
108,4,0,36,0,13713,166,0,42,3,1,1,30,555.16
2459,14,0,43,2,5000,97,20,32,3,1,1,30,283.88
1859,4,0,41,1,4210,83,3,24,3,1,1,30,183.72
2242,12,0,25,1,1470,35,21,13,2,1,1,25,162.225
3113,9,0,40,2,3400,33,490,10,3,1,1,30,2097.32
2349,7,1,7,1,1713,23,7,5,3,1,1,30,97.44
2128,5,0,38,0,438,8,7,4,3,1,2,30,45.84
1546,11,0,13,1,9228,175,87,53,4,1,1,45,452.575
428,0,0,33,0,0,0,0,0,3,1,2,30,0.0
2790,18,0,29,0,1195,32,26,12,3,1,2,30,153.08
1782,0,0,34,0,0,0,0,0,5,1,1,55,0.0
2099,0,0,7,0,1182,13,0,5,2,1,1,25,53.775
2333,29,0,29,3,16300,242,7,78,2,1,1,25,775.89
370,9,0,40,1,11645,162,22,52,4,1,1,45,350.175
921,2,0,36,0,6008,64,83,37,2,1,1,25,646.74
2672,28,1,36,0,1375,59,55,23,3,1,2,30,277.36
1748,0,0,7,0,4275,35,217,11,3,1,1,30,1040.4
1608,2,0,37,0,13583,169,25,46,3,1,1,30,650.08
3087,11,0,38,1,3085,59,182,25,2,1,1,25,960.48
791,0,0,21,0,825,4,13,2,4,1,2,45,53.225
671,10,0,37,1,6908,76,117,40,2,1,1,25,840.78
954,3,0,38,0,2393,58,2,33,1,1,1,15,145.805
47,8,0,16,3,2853,45,31,19,3,2,1,30,239.92
1691,0,0,23,0,0,0,0,0,4,1,2,45,0.0
870,13,0,38,2,12175,165,19,47,4,1,1,45,356.0
1098,0,0,7,0,4085,34,208,8,3,1,1,30,996.76
58,10,0,40,1,13833,172,5,46,3,1,1,30,580.2
72,26,1,35,1,1015,50,21,19,3,1,1,30,126.6
2290,17,0,33,0,1085,33,27,13,3,1,2,30,152.72
2898,5,0,6,1,4695,40,214,11,3,1,1,30,1045.4
1060,1,0,36,0,5613,89,0,10,2,1,1,25,256.59
1038,4,0,27,1,1315,36,193,11,2,2,1,25,929.295
2906,11,0,45,2,2665,51,300,21,4,1,1,45,817.9
2630,5,0,35,0,6490,93,7,9,5,1,1,55,109.245
335,0,0,30,0,3458,72,0,22,2,1,1,25,158.85
1654,0,0,35,0,1973,46,0,27,1,1,1,15,111.045
1677,4,0,33,0,1848,32,0,25,3,1,2,30,75.2
180,4,0,37,2,6865,99,24,26,5,1,1,55,140.46
2670,12,0,40,3,11885,166,50,53,4,1,1,45,426.275
1725,0,0,32,0,2725,17,2,15,3,1,1,30,117.68
120,4,0,35,0,11405,151,6,45,3,1,1,30,486.24
1427,6,1,37,0,2143,46,38,34,3,1,2,30,239.56
2163,12,0,42,3,3460,36,495,12,4,1,1,45,1324.9
2364,19,0,45,2,16050,198,172,38,2,1,1,25,1505.16
2738,9,0,28,1,1505,36,168,9,2,2,1,25,825.345
1143,0,0,25,0,2980,58,6,23,3,1,1,30,145.52
2563,13,0,40,4,4000,43,511,25,4,1,1,45,1378.575
1905,12,0,37,1,4180,87,33,26,3,1,1,30,302.68
1587,0,0,34,0,1875,37,147,6,2,1,1,25,747.54
1647,3,0,15,3,2663,45,56,21,3,1,1,30,332.32
1851,0,0,42,0,13,5,8,3,3,1,2,30,32.72
415,1,0,34,1,6320,78,175,21,3,1,1,30,955.92
1380,0,0,25,0,6220,81,0,14,4,1,1,45,157.525
1344,2,0,22,0,1650,30,36,18,2,1,1,25,237.6
1525,0,0,32,1,3135,26,14,27,3,1,1,30,182.44
1466,0,0,32,0,0,0,0,0,2,1,2,25,0.0
2495,23,0,22,2,6878,155,103,49,2,2,1,25,779.985
1548,1,0,7,2,4685,44,229,23,3,1,1,30,1105.16
2359,17,0,46,3,5080,99,24,33,4,1,1,45,189.475
1396,2,0,7,0,8368,155,51,32,4,1,1,45,340.575
993,2,0,25,0,3225,61,8,23,3,1,1,30,163.44
1270,1,0,31,0,11080,146,0,41,3,1,1,30,449.04
1398,0,0,3,0,3825,24,193,2,2,1,1,25,1041.705
527,5,0,36,0,1668,34,13,16,3,1,2,30,120.08
2174,21,0,40,3,6183,107,38,28,3,1,1,30,403.6
916,0,0,36,0,165,3,0,11,2,1,2,25,7.56
181,1,1,40,0,708,9,19,8,4,1,2,45,65.425
781,0,0,31,0,628,1,1,3,4,1,2,45,18.225
2404,5,0,34,1,2438,54,7,29,1,1,1,15,175.56
177,10,1,40,0,2348,46,44,35,3,1,2,30,271.76
2166,8,0,41,2,1240,23,12,15,2,1,1,25,110.835
1307,13,0,41,2,9070,125,152,47,3,1,1,30,975.8
553,10,0,39,1,4313,72,33,39,1,1,1,15,422.675
2789,11,0,28,1,2063,46,46,73,5,1,1,55,100.635
1819,0,0,30,0,7203,115,369,40,2,1,1,25,1989.81
2519,6,0,36,1,7633,125,380,40,3,1,1,30,1830.32
285,7,0,42,1,3978,92,17,34,3,1,1,30,230.8
1255,5,0,32,0,3390,74,15,22,2,1,1,25,223.38
1188,0,0,23,0,950,27,181,7,2,2,1,25,858.465
91,3,0,28,1,885,13,26,5,4,1,1,45,87.45
620,7,0,36,0,11350,148,0,43,3,1,1,30,459.92
2190,19,0,31,2,1065,34,22,11,3,1,1,30,131.96
2113,9,0,40,2,3400,33,490,10,3,1,1,30,2097.32
2866,3,0,34,0,1180,14,0,12,2,1,2,25,53.73
2567,11,0,40,0,1615,30,41,25,3,1,2,30,229.8
3145,21,0,19,2,6697,147,92,44,2,2,1,25,721.98
1896,9,0,18,0,8627,171,74,39,5,1,1,55,242.97
2006,0,0,36,0,2055,33,278,16,3,1,1,30,1195.52
2462,32,0,43,4,15625,239,72,39,3,1,1,30,922.56
876,15,1,36,0,3700,52,17,16,3,1,2,30,218.08
2911,16,0,45,0,2543,66,23,20,4,1,2,45,122.725
1224,9,0,38,1,5593,94,29,26,2,1,1,25,386.415
777,7,1,31,0,2268,38,26,30,3,1,2,30,196.24
1812,18,0,31,1,14835,213,39,29,2,1,1,25,852.66
1790,4,0,25,0,205,18,0,2,2,1,2,25,10.035
2511,12,0,37,0,2363,52,7,14,3,1,2,30,124.6
1114,7,0,37,0,15240,179,148,30,2,1,1,25,1359.855
2676,14,0,38,0,3410,53,48,22,3,1,2,30,330.52
2226,11,0,35,0,3235,44,11,16,3,1,2,30,175.16
1073,16,0,34,7,10130,87,0,40,4,1,1,45,255.425
2762,32,1,40,4,15635,232,70,37,3,1,1,30,914.68
3080,8,0,35,2,7090,103,21,24,5,1,1,55,139.395
2935,9,0,43,2,4023,94,17,31,3,1,1,30,232.68
2947,15,0,23,5,3157,57,46,22,4,1,1,45,195.35
275,6,0,40,1,3100,32,15,20,3,1,1,30,185.28
761,7,1,33,0,2238,48,0,16,3,1,2,30,91.44
693,4,0,25,0,3415,62,17,26,3,1,1,30,207.08
1382,0,1,28,0,0,0,0,0,4,1,1,45,0.0
2202,12,0,37,1,2698,63,361,24,3,1,1,30,1554.44
1410,3,0,39,0,5793,97,11,15,2,1,1,25,314.55
2179,9,0,40,2,2033,34,12,10,4,1,1,45,81.675
1749,0,1,7,0,1372,14,2,8,2,1,1,25,71.37
2494,9,0,23,1,2180,40,46,21,3,1,1,30,272.8
1554,0,0,36,0,1488,42,0,16,1,1,1,15,84.15
1526,8,0,33,0,3285,45,23,29,2,1,2,25,253.35
236,2,0,31,0,1585,42,28,16,3,1,2,30,177.08
2062,20,0,36,2,14835,219,47,30,3,1,1,30,790.16
1892,7,0,28,0,920,32,20,12,2,1,1,25,132.84
2313,8,0,36,1,3320,31,480,6,3,1,1,30,2054.04
1432,0,0,37,0,213,6,8,5,5,1,1,55,15.285
1065,0,0,35,0,6195,80,179,24,3,1,1,30,967.0
932,0,0,35,0,0,0,0,0,5,1,1,55,0.0
616,0,0,36,0,760,8,0,7,2,1,2,25,34.56
221,7,0,33,0,6638,73,98,33,2,1,1,25,742.995
1471,1,0,32,0,6233,61,90,30,2,1,1,25,688.23
2420,7,0,33,1,11510,150,7,43,4,1,1,45,309.0
2206,6,0,38,1,2605,42,287,18,3,1,1,30,1253.88
1351,0,0,31,0,0,0,0,0,2,1,2,25,0.0
1724,10,0,34,0,5703,93,28,25,2,1,1,25,386.82
895,22,0,18,2,7102,152,93,42,2,2,1,25,744.93
632,0,0,35,0,0,0,0,0,4,1,1,45,0.0
2360,16,0,46,2,6483,111,29,20,3,1,1,30,379.76
137,3,0,34,0,2720,50,170,21,2,1,1,25,889.65
2707,18,0,38,2,9305,121,119,41,3,1,1,30,853.04
1507,12,0,35,3,9410,125,158,56,3,1,1,30,1013.4
1696,7,0,12,0,8513,159,34,34,4,1,1,45,301.8
1593,0,0,23,0,2320,45,0,6,3,1,1,30,94.6
1131,0,0,36,0,383,4,7,4,4,1,1,45,27.175
725,0,0,34,0,2650,21,0,11,3,1,1,30,106.84
751,0,0,34,0,318,4,0,3,2,1,2,25,14.49
1002,10,0,37,0,2453,60,359,24,3,1,1,30,1536.52
2967,13,0,41,0,1725,31,28,10,3,1,2,30,182.24
2034,1,0,32,2,6660,110,264,31,2,2,1,25,1492.65
1436,0,0,36,0,1540,46,42,23,3,1,2,30,231.44
1826,2,0,28,0,2685,29,0,13,2,1,2,25,122.13
1742,7,0,23,0,1110,27,21,14,2,1,1,25,145.665
1917,3,0,37,0,1115,19,14,6,2,1,2,25,114.03
1142,8,0,25,0,980,29,17,13,2,1,1,25,121.905
607,13,0,36,1,9000,115,112,39,3,1,1,30,812.6
1074,8,1,34,0,5513,92,19,22,2,1,1,25,337.725
683,27,0,31,3,16265,239,9,83,2,1,1,25,783.18
439,2,0,23,0,1388,31,19,63,4,1,1,45,82.975
1010,6,0,38,0,5918,95,7,12,3,1,1,30,268.52
94,5,0,20,1,1755,29,33,16,2,1,1,25,228.78
2322,27,1,31,0,1180,51,13,15,3,1,2,30,101.24
1566,0,0,35,0,0,0,0,0,2,1,2,25,0.0
1294,0,0,12,0,1310,18,11,8,2,1,1,25,109.26
1000,8,0,38,0,4370,71,5,17,3,1,1,30,197.64
268,5,0,43,0,260,10,15,6,2,1,2,25,79.65
32,0,0,36,1,338,4,4,2,5,1,1,55,11.13
199,4,0,13,2,1568,21,10,11,3,1,1,30,103.56
771,6,0,32,0,6718,69,100,36,2,1,1,25,755.415
228,0,1,32,0,0,0,0,0,3,1,2,30,0.0
774,11,0,31,0,5818,92,18,23,2,1,1,25,346.95
2114,14,0,39,1,15790,188,157,32,2,1,1,25,1425.51
302,5,0,31,0,2193,50,344,18,2,1,1,25,1648.935
1713,1,0,36,0,2980,22,485,9,3,1,1,30,2060.08
2835,5,0,38,1,3833,87,0,27,3,1,1,30,156.8
1452,3,0,32,0,1968,46,341,17,2,1,1,25,1625.13
2798,9,0,11,2,4885,47,231,15,3,1,1,30,1121.28
134,3,0,32,2,6905,113,266,31,2,2,1,25,1512.81
551,0,0,40,0,433,11,39,8,3,1,2,30,173.76
2651,5,0,42,0,738,17,46,10,3,1,2,30,214.2
679,3,0,36,0,1858,26,9,9,3,1,1,30,111.36
812,27,0,43,4,15140,231,62,33,3,1,1,30,862.84
2991,11,0,29,0,1840,27,36,5,4,1,2,45,136.675
2102,15,0,39,1,2758,66,366,26,3,1,1,30,1576.96
1281,0,1,30,0,0,0,0,0,4,1,2,45,0.0
480,7,0,33,3,7385,107,35,37,5,1,1,55,164.88
2839,7,0,28,1,1683,44,28,67,5,1,1,55,67.905
1020,7,0,37,1,11465,154,11,47,4,1,1,45,317.975
1925,2,0,33,0,3245,27,1,12,3,1,1,30,134.88
2539,7,0,25,1,1693,37,26,65,5,1,1,55,64.95
2671,13,0,40,3,7138,87,147,43,3,1,1,30,877.0
1132,0,0,36,1,93,1,2,2,5,1,1,55,4.41
1648,0,0,8,1,4200,40,240,12,3,1,1,30,1129.6
2451,7,0,44,0,803,19,25,11,3,1,2,30,132.88
1513,3,0,36,2,3390,31,497,21,3,1,1,30,2124.84
287,11,0,42,1,3040,63,190,29,2,1,1,25,994.635
855,17,0,39,2,4485,93,40,28,3,1,1,30,343.12
501,0,0,39,0,0,0,0,0,2,1,2,25,0.0
119,0,0,35,0,7448,124,379,41,2,1,1,25,2046.24
364,11,0,40,0,15665,190,161,35,2,1,1,25,1437.975
3007,12,0,38,2,8710,116,126,45,3,1,1,30,857.04
3139,9,0,28,1,1873,45,37,70,5,1,1,55,84.27
557,13,0,38,3,9230,127,176,47,3,1,1,30,1078.28
2818,0,0,39,0,0,0,0,0,2,1,2,25,0.0
561,9,1,39,0,2353,60,40,21,3,1,2,30,256.52
1159,0,0,34,0,4150,74,0,21,3,1,1,30,168.96
508,3,0,38,0,13173,159,0,29,3,1,1,30,533.28
2544,5,0,17,1,1820,24,24,11,3,1,1,30,169.76
1138,2,1,27,1,1070,33,191,11,2,2,1,25,909.135
918,0,0,36,0,0,0,0,0,2,1,2,25,0.0
1104,1,0,38,0,2148,55,0,33,1,1,1,15,121.165
2395,26,0,25,3,6958,157,107,50,2,2,1,25,801.675
2847,11,0,18,4,2967,50,29,18,3,1,1,30,236.68
2473,28,0,41,9,10920,107,19,49,5,2,1,55,193.905
2812,28,0,40,4,15255,230,52,31,3,1,1,30,827.4
987,6,0,36,0,2780,53,175,23,2,1,1,25,914.985
866,6,0,38,0,1585,25,8,11,2,1,2,25,108.45
2009,2,0,36,0,4210,77,0,23,3,1,1,30,171.48
573,21,0,37,9,10550,99,33,46,5,1,1,55,209.235
1497,1,0,11,2,2368,31,13,12,3,1,1,30,147.96
1805,4,0,31,0,3470,70,17,25,2,1,1,25,235.8
233,24,0,27,2,15995,236,0,76,2,1,1,25,730.395
955,11,0,38,1,3775,82,32,28,3,1,1,30,282.28
341,0,0,20,0,0,0,6,0,4,1,2,45,15.0
1305,11,0,42,1,3730,86,40,32,3,1,1,30,312.64
82,3,0,38,2,398,7,9,4,5,1,1,55,19.575
2916,7,0,44,0,1180,26,15,14,3,1,2,30,108.24
188,5,0,31,2,1395,38,203,15,2,2,1,25,977.985
1414,6,0,38,0,15360,184,154,33,2,1,1,25,1392.48
813,6,0,43,2,3095,33,491,9,4,1,1,45,1305.7
549,0,1,9,0,888,9,0,3,3,1,1,30,35.88
959,7,0,38,1,4515,83,2,25,3,1,1,30,191.92
1349,3,0,13,1,1443,23,8,11,3,1,1,30,90.64
1934,7,0,33,3,7370,121,272,31,2,2,1,25,1561.095
3069,8,0,39,1,7813,133,391,45,3,1,1,30,1881.84
764,7,0,32,0,15485,176,142,29,2,1,1,25,1343.745
2934,13,0,41,5,7270,128,286,36,3,2,1,30,1439.92
543,0,0,25,0,2625,51,0,8,3,1,1,30,107.04
477,13,1,36,0,2868,54,55,46,3,1,2,30,336.88
1953,0,0,35,0,3183,49,0,33,1,1,1,15,177.76
2191,8,0,30,2,1190,19,33,7,4,1,1,45,112.725
1675,0,0,31,0,2420,10,0,8,3,1,1,30,97.2
1450,1,0,33,0,3885,57,0,10,2,1,1,25,177.39
397,10,0,19,3,3033,53,42,24,3,1,1,30,291.44
1810,0,0,31,0,5613,83,0,9,2,1,1,25,256.32
654,5,0,38,0,2583,59,11,36,1,1,1,15,205.81
1872,20,0,36,0,650,47,17,16,3,1,2,30,95.88
2612,26,0,40,2,14845,221,40,19,3,1,1,30,762.64
1297,2,0,10,1,2468,37,14,13,3,1,1,30,156.2
1641,0,0,25,0,635,10,46,5,4,1,2,45,131.125
250,13,0,44,1,4630,81,20,23,3,1,1,30,268.44
2624,14,0,38,0,5523,94,12,11,2,1,1,25,306.765
2884,9,0,31,3,7270,116,270,34,2,2,1,25,1547.37
857,19,0,38,3,9825,132,152,43,3,1,1,30,1006.28
280,8,0,39,2,7045,107,29,28,5,1,1,55,150.78
2586,12,1,37,0,2570,60,66,37,4,1,2,45,230.75
1163,0,0,34,0,2730,18,471,4,3,1,1,30,1993.92
2893,5,0,22,0,3530,61,7,24,3,1,1,30,171.64
1221,4,0,39,1,6493,71,111,39,2,1,1,25,794.88
1719,0,0,35,0,7393,122,386,44,2,1,1,25,2075.175
2438,5,0,23,1,1360,32,185,7,2,2,1,25,895.14
1194,0,0,14,0,1330,17,16,10,2,1,1,25,132.615
674,15,0,36,1,6008,99,35,27,2,1,1,25,432.315
468,4,0,37,0,600,10,21,15,2,1,2,25,121.95
1342,10,0,29,0,1180,36,27,17,2,1,1,25,176.22
587,6,0,37,1,2895,59,207,27,2,1,1,25,1064.43
429,0,0,33,0,1488,17,0,1,3,1,1,30,60.2
485,6,0,36,2,4318,92,23,43,3,1,1,30,268.4
1828,0,0,29,0,0,0,0,0,2,1,2,25,0.0
1808,0,0,31,0,13468,157,0,41,3,1,1,30,545.0
555,11,0,39,2,3890,88,64,32,3,1,1,30,415.12
186,4,0,39,0,1745,46,48,24,3,1,2,30,263.64
166,1,0,41,0,955,16,10,15,2,1,2,25,88.695
1071,3,0,35,0,6413,69,101,35,2,1,1,25,746.19
1247,4,0,18,3,2628,41,34,21,3,1,1,30,242.76
476,13,1,35,0,3590,51,30,31,3,1,2,30,265.64
1271,2,0,31,0,6333,67,91,31,2,1,1,25,697.5
2849,6,1,11,2,1602,24,0,6,3,1,1,30,65.04
2843,5,0,27,1,3340,66,6,22,3,1,1,30,160.24
56,7,0,40,1,2420,42,290,20,3,1,1,30,1258.48
208,6,0,34,0,13693,167,0,40,3,1,1,30,554.4
2635,5,0,38,0,3423,78,7,15,3,1,1,30,168.04
1502,9,0,35,1,2748,64,373,37,2,1,1,25,1805.04
1596,3,0,13,0,8028,155,45,23,4,1,1,45,317.075
2136,8,0,37,0,1970,50,45,22,3,1,2,30,260.8
1657,8,0,34,0,8695,109,105,37,3,1,1,30,772.16
425,0,0,31,0,2660,14,0,9,3,1,1,30,106.96
1145,14,1,17,1,6148,138,83,42,1,2,1,15,802.23
2694,7,0,21,2,2115,38,67,20,3,1,1,30,354.12
241,0,0,22,0,0,0,11,0,4,1,2,45,27.5
2149,8,1,11,2,1793,25,7,9,3,1,1,30,100.72
3134,11,0,36,4,7270,122,278,35,3,2,1,30,1407.68
2158,15,0,42,2,14138,178,12,48,3,1,1,30,620.64
569,3,0,38,1,7623,133,416,47,3,1,1,30,1974.24
1454,0,0,33,0,1908,44,0,26,1,1,1,15,107.36
2164,17,0,41,2,15850,191,162,34,2,1,1,25,1450.845
3146,17,0,17,1,9237,177,80,42,5,1,1,55,261.21
836,5,0,40,0,1665,50,46,21,4,1,2,45,157.875
1047,8,0,16,3,2852,45,31,19,3,1,1,30,239.88
3024,12,0,37,1,5413,93,8,26,2,1,1,25,283.77
2656,9,0,41,2,2780,51,324,24,4,1,1,45,880.775
2013,0,0,36,0,2790,21,476,6,3,1,1,30,2016.44
1551,0,0,37,0,0,0,0,0,2,1,2,25,0.0
2035,0,0,34,0,3413,76,0,26,2,1,1,25,157.005
1604,0,0,37,0,2203,58,27,35,2,1,1,25,223.245
802,12,0,42,1,2453,66,367,25,3,1,1,30,1568.76
2928,7,0,43,0,438,14,15,5,3,1,2,30,78.08
2175,9,0,38,2,3205,31,12,18,3,1,1,30,177.44
1720,4,0,35,0,11350,149,13,48,3,1,1,30,511.96
1149,1,1,9,1,1243,16,0,7,3,1,1,30,50.36
2256,10,0,44,2,2745,47,302,24,4,1,1,45,824.8
